Country;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027
Austria;0,0;3,1895;1,317;1,4844;1,1416;2,5653;2,3204;3,2693;3,7752;1,4533;-3,5863;1,809;2,9275;0,6282;-0,2507;0,7558;1,3035;2,1172;2,2722;2,4842;1,755;-6,3183;4,9231;5,331;-0,7862;-0,6591;0,6157;0,5631;0,8781;"Real GDP growth in %
Source:
European Commission, AMECO Database, variable code: OVGD
This variable shows the real (i.e. inflation-adjusted) annual growth rate
of the Gross Domestic Product. The data for the current and next year are forecasts
provided by the European Commission."
Lithuania;;;;;;6,502 (no €);7,7315 (no €);7,3954 (no €);11,078 (no €);2,5994 (no €);-14,8386 (no €);0,4272 (no €);6,3237 (no €);4,3829 (no €);4,0469 (no €);3,7725 (no €);2,8328;2,6719;4,6123;4,9184;4,6774;0,0428;6,3948;2,4653;0,7396;3,0302;2,9201;2,9529;2,0586
Luxembourg;0,0;6,9381;3,0743;3,2253;2,6192;4,2307;2,4825;6,0166;8,0985;-0,3023;-3,239;3,7604;1,0443;1,6497;3,1717;2,6231;2,2684;4,9782;1,3171;1,6113;2,7493;-0,5101;6,9297;-1,0974;0,0994;0,3586;0,6379;1,6301;2,0236
Malta;;;;;;0,4073 (no €);2,8813 (no €);2,3362 (no €);5,0364 (no €);4,4106;-1,3953;6,1974;0,9921;4,1017;6,2924;7,6315;9,6206;4,078;12,9714;7,1892;4,085;-3,4573;13,3509;2,5931;10,6337;6,2129;3,9617;3,6984;3,6063
Netherlands;0,0;4,2197;2,3236;0,2458;0,0979;2,0163;2,034;3,5373;3,8854;2,1167;-3,6653;1,3194;1,7733;-0,9778;-0,0302;1,6126;2,1206;2,4243;2,7815;2,2587;2,3002;-3,868;6,2768;5,0072;-0,5981;1,0738;1,7846;0,9647;1,1193
Poland;;;;;;5,0908 (no €);3,2608 (no €);6,2021 (no €);6,7605 (no €);4,3838 (no €);2,6151 (no €);3,1689 (no €);5,2555 (no €);1,5118 (no €);0,6842 (no €);3,9205 (no €);4,4318 (no €);3,0312 (no €);5,1525 (no €);6,2459 (no €);4,5805 (no €);-2,0356 (no €);6,9272 (no €);5,2555 (no €);0,2496 (no €);3,2487 (no €);3,6319 (no €);3,4697 (no €);2,7563 (no €)
Portugal;0,0;3,8162;1,9437;0,7709;-0,9305;1,7887;0,7819;1,625;2,5066;0,3192;-3,1221;1,7376;-1,7135;-4,0509;-0,9841;0,7414;1,5898;2,0041;3,3147;2,9463;2,7457;-8,2046;5,5588;6,9858;3,1;2,2146;1,8645;1,6931;1,8181
Romania;;;;;;;;;7,2338 (no €);9,3075 (no €);-5,5167 (no €);-3,9058 (no €);4,4956 (no €);1,9036 (no €);0,2788 (no €);4,116 (no €);3,157 (no €);2,86 (no €);8,1955 (no €);5,3945 (no €);3,9603 (no €);-3,598 (no €);5,5874 (no €);4,1877 (no €);2,2577 (no €);0,916 (no €);0,6778 (no €);0,1477 (no €);2,3487 (no €)
Slovakia;;;;;;5,3895 (no €);6,4849 (no €);8,9257 (no €);10,8186 (no €);5,3634 (no €);-5,5053;6,7906;2,5624;1,5692;0,7033;2,708;5,1769;1,9478;2,8747;4,0621;2,2759;-2,5855;5,6559;0,5446;2,1126;1,9387;0,8074;0,8077;1,5203
Slovenia;;;;;;4,546 (no €);3,8541 (no €);5,9088 (no €);7,1392;3,3722;-7,5906;1,1121;0,6554;-2,9155;-0,8238;2,7628;2,3933;3,0344;5,1744;4,3791;3,5052;-4,085;8,4169;2,6685;2,3758;1,7314;1,0599;1,94;2,27
Spain;0,0;5,2006;3,9191;2,7555;2,9393;3,1145;3,5512;4,0434;3,5335;0,7672;-3,7681;0,0941;-0,6399;-2,8651;-1,4273;1,5205;4,0609;2,9152;2,896;2,3954;1,9612;-10,9401;6,6831;6,3703;2,4609;3,4553;2,825;2,3962;1,9497
Sweden;0,0 (no €);4,6311 (no €);1,3608 (no €);2,2777 (no €);1,881 (no €);4,1796 (no €);2,7931 (no €);4,6761 (no €);3,2249 (no €);-0,9231 (no €);-4,2556 (no €);5,7508 (no €);3,1639 (no €);-0,4144 (no €);1,1377 (no €);2,2958 (no €);4,3882 (no €);2,1312 (no €);1,8828 (no €);1,7703 (no €);2,6082 (no €);-1,9338 (no €);5,2259 (no €);1,2554 (no €);-0,2041 (no €);1,0178 (no €);1,5432 (no €);1,7604 (no €);2,1702 (no €)
