Country;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027
Austria;-2,63174;-2,40642;-0,71262;-1,42528;-1,83884;-4,94133;-2,5885;-2,60849;-1,36958;-1,57157;-5,38096;-4,46435;-2,48163;-2,17693;-1,9925;-1,92353;-0,47692;-1,45142;-0,77574;0,19519;0,53641;-8,20437;-5,6935;-3,41032;-2,56349;-4,64545;-4,18545;-4,13702;-4,13549;"General government balance in % GDP
Source:
European Commission, AMECO Database, variable code: UBLG
This variable indicates whether the general government budget (relative to Gross Domestic Product)
is in surplus (a positive number) or in deficit (a negative number). The data for the current and
next year are forecasts provided by the European Commission."
Italy;-1,7747;-2,4201;-3,18082;-2,87978;-3,2262;-3,46092;-4,09853;-3,60544;-1,32594;-2,58396;-5,05654;-4,16139;-3,5244;-2,98549;-2,87455;-2,8185;-2,45912;-2,40466;-2,50887;-2,19199;-1,45011;-9,3788;-8,87568;-8,10126;-7,13417;-3,3505;-3,07261;-2,91011;-2,93521
Latvia;;;;;;-1,23786 (no €);-0,50013 (no €);-0,5595 (no €);-0,59481 (no €);-4,47137 (no €);-9,81437 (no €);-8,79482 (no €);-4,46963 (no €);-1,46027 (no €);-1,25855 (no €);-1,70102;-1,52163;-0,01372;-0,29846;-1,356;-0,15534;-4,08741;-7,2205;-4,85919;-2,34234;-1,78716;-2,54129;-3,31505;-4,32071
Lithuania;;;;;;-1,38646 (no €);-0,34356 (no €);-0,27292 (no €);-0,81559 (no €);-3,08416 (no €);-9,0552 (no €);-6,94852 (no €);-5,91313 (no €);-3,14587 (no €);-2,69369 (no €);-1,78961 (no €);-0,76681;0,03374;0,36003;0,52234;0,41187;-6,41624;-1,1499;-0,71794;-0,66364;-1,2812;-1,82321;-2,22534;-2,73975
Luxembourg;3,10817;5,54493;5,62665;2,03098;0,27296;-1,39333;-0,20782;1,91157;4,36293;3,37394;-0,20998;-0,31748;0,65841;0,50645;0,84374;1,33882;1,33406;1,89297;1,36685;3,17532;2,67873;-3,0925;1,11447;0,2136;-0,65883;0,89986;-1,96154;-1,229;-1,54747
Malta;;;;;;-4,24429 (no €);-2,83606 (no €);-2,46071 (no €);-2,05428 (no €);-4,05515;-3,11404;-2,22093;-2,986;-3,30505;-2,1859;-1,48629;-0,83844;1,09625;3,40467;1,85765;0,79621;-8,7019;-6,94473;-5,29282;-4,43685;-3,43177;-2,21872;-2,16683;-2,10509
Netherlands;0,28276;1,1358;-0,46776;-2,23006;-3,19188;-1,82496;-0,51471;0,04103;-0,1625;-0,05758;-5,06036;-5,3048;-4,42156;-3,8336;-2,87244;-2,17306;-1,83516;0,22522;1,35418;1,49478;1,90849;-3,71689;-2,25955;0,00221;-0,3711;-0,73631;-1,58853;-2,52383;-1,91176
Poland;;;;;;-4,98763 (no €);-3,92585 (no €);-3,52701 (no €);-1,8793 (no €);-3,59534 (no €);-7,23632 (no €);-7,42982 (no €);-4,9745 (no €);-3,79536 (no €);-4,24608 (no €);-3,66214 (no €);-2,59453 (no €);-2,38313 (no €);-1,48585 (no €);-0,24483 (no €);-0,7336 (no €);-6,85308 (no €);-1,67562 (no €);-3,36924 (no €);-5,19554 (no €);-6,44832 (no €);-7,25767 (no €);-6,48846 (no €);-6,27504 (no €)
Portugal;-3,03152;-3,17114;-4,74152;-3,28759;-5,69941;-6,20223;-6,13001;-4,16702;-2,87503;-3,81072;-9,87422;-11,41836;-7,72695;-6,20243;-5,21357;-7,36287;-4,47398;-1,94339;-3,00221;-0,42576;0,11609;-5,75225;-2,82549;-0,31042;1,12065;0,64272;0,67107;-0,08501;-0,44317
Romania;;;;;;;;;-2,76287 (no €);-5,41226 (no €);-9,51892 (no €);-7,11407 (no €);-5,55009 (no €);-3,8199 (no €);-2,26805 (no €);-1,18627 (no €);-0,52192 (no €);-2,51275 (no €);-2,51289 (no €);-2,82337 (no €);-4,35426 (no €);-9,25786 (no €);-7,18178 (no €);-6,51297 (no €);-6,60869 (no €);-9,25329 (no €);-7,88262 (no €);-6,2032 (no €);-5,8053 (no €)
Slovakia;;;;;;-2,3593 (no €);-2,85703 (no €);-3,57007 (no €);-2,25828 (no €);-2,54082 (no €);-8,18451;-7,44441;-4,35561;-4,36621;-2,86123;-3,24507;-2,78204;-2,59355;-0,98469;-1,00603;-1,205;-5,29587;-5,08972;-1,56375;-5,30716;-5,34746;-4,45054;-4,64548;-5,43587
Slovenia;;;;;;-1,98159 (no €);-1,37886 (no €);-1,2585 (no €);-0,07711;-1,44059;-5,87195;-5,55572;-6,68584;-4,19644;-11,22705;-4,52615;-2,83765;-1,99902;0,05368;0,89608;0,68101;-7,67676;-4,6104;-3,01387;-2,58337;-0,8815;-2,53424;-3,30801;-3,47464
Spain;-1,24017;-1,16127;-0,45495;-0,31424;-0,37487;-0,10941;1,23055;2,12164;1,88271;-4,56037;-11,23738;-9,48739;-9,69177;-11,49596;-7,48841;-6,03648;-5,26606;-4,22105;-3,06857;-2,55247;-3,06466;-9,90928;-6,65121;-4,58658;-3,34012;-3,21558;-2,39042;-2,41844;-2,02093
Sweden;0,59673 (no €);3,10295 (no €);1,37345 (no €);-1,45689 (no €);-1,24698 (no €);0,15241 (no €);1,99168 (no €);2,20058 (no €);3,37447 (no €);1,87085 (no €);-0,91744 (no €);-0,16604 (no €);-0,42291 (no €);-1,19568 (no €);-1,63646 (no €);-1,86557 (no €);-0,28885 (no €);0,84035 (no €);1,28742 (no €);0,66158 (no €);0,43153 (no €);-3,19034 (no €);-0,20438 (no €);0,9909 (no €);-0,89364 (no €);-1,52428 (no €);-1,28944 (no €);-2,76709 (no €);-2,51125 (no €)
